ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
XOM,2018-12-31,68.32,69.145,67.66,68.19,15609337.0,0.0,68.19,2018-12-31
XOM,2018-12-28,69.18,69.58,67.82,68.17,19617793.0,0.0,68.17,2018-12-28
XOM,2018-12-27,67.74,68.94,66.08,68.94,21315318.0,0.0,68.94,2018-12-27
XOM,2018-12-26,66.18,68.655,64.65,68.64,24403048.0,0.0,68.64,2018-12-26
XOM,2018-12-24,66.87,67.53,65.44,65.51,14262074.0,0.0,65.51,2018-12-28
XOM,2018-12-21,68.14,70.37,67.67,68.12,40697507.0,0.0,68.12,2018-12-21
XOM,2018-12-20,70.09,70.66,68.05,68.63,28470501.0,0.0,68.63,2018-12-20
XOM,2018-12-19,72.45,73.27,70.295,70.78,21353300.0,0.0,70.78,2018-12-19
XOM,2018-12-18,73.63,73.86,71.62,72.0,18515976.0,0.0,72.0,2018-12-18
XOM,2018-12-17,75.26,75.6,73.48,74.04,14546926.0,0.0,74.04,2018-12-17
XOM,2018-12-14,76.72,76.87,75.09,75.58,12596815.0,0.0,75.58,2018-12-14
XOM,2018-12-13,76.03,77.22,75.95,76.98,11062511.0,0.0,76.98,2018-12-13
XOM,2018-12-12,78.04,78.2,76.015,76.02,14428578.0,0.0,76.02,2018-12-12
XOM,2018-12-11,77.7,77.8,75.68,76.68,12896660.0,0.0,76.68,2018-12-11
XOM,2018-12-10,77.86,77.86,74.797,76.54,17160383.0,0.0,76.54,2018-12-10
XOM,2018-12-07,79.39,80.36,77.335,77.64,15501101.0,0.0,77.64,2018-12-07
XOM,2018-12-06,78.0,78.44,76.92,78.39,21231330.0,0.0,78.39,2018-12-06
XOM,2018-12-04,81.38,81.95,79.35,79.43,16905941.0,0.0,79.43,2018-12-04
XOM,2018-12-03,80.24,81.46,80.14,81.22,19317056.0,0.0,81.22,2018-12-03
XOM,2018-11-30,78.45,79.6,78.32,79.5,13450150.0,0.0,79.5,2018-11-30
XOM,2018-11-29,78.22,79.53,78.195,79.06,9810407.0,0.0,79.06,2018-11-29
XOM,2018-11-28,77.04,78.45,76.84,78.45,11318095.0,0.0,78.45,2018-11-28
XOM,2018-11-27,76.57,77.45,76.4,77.05,10048778.0,0.0,77.05,2018-11-27
XOM,2018-11-26,76.24,77.32,76.12,76.98,12936103.0,0.0,76.98,2018-11-26
XOM,2018-11-23,76.05,76.2,74.7,75.49,10874417.0,0.0,75.49,2018-11-23
XOM,2018-11-21,77.43,78.38,77.26,77.56,9671330.0,0.0,77.56,2018-11-21
XOM,2018-11-20,78.42,78.9,76.37,76.97,15448650.0,0.0,76.97,2018-11-20
XOM,2018-11-19,78.46,79.36,78.43,79.22,9330634.0,0.0,79.22,2018-11-19
XOM,2018-11-16,78.37,79.19,78.1,78.96,13536176.0,0.0,78.96,2018-11-16
XOM,2018-11-15,76.67,78.19,75.91,78.19,18690497.0,0.0,78.19,2018-11-15
XOM,2018-11-14,78.86,79.09,76.75,77.39,18408403.0,0.0,77.39,2018-11-14
XOM,2018-11-13,79.8,79.85,77.64,78.0,15504835.0,0.0,78.0,2018-11-13
XOM,2018-11-12,81.66,81.73,79.73,79.83,11842020.0,0.0,79.83,2018-11-12
XOM,2018-11-09,80.26,81.4,79.695,80.87,15013866.0,0.82,80.87,2018-11-09
XOM,2018-11-08,83.13,83.745,81.535,81.71,16413032.0,0.0,81.71,2018-11-08
XOM,2018-11-07,82.21,83.14,81.66,83.03,12566767.0,0.0,83.03,2018-11-07
XOM,2018-11-06,81.74,82.1,81.35,81.99,9029347.0,0.0,81.99,2018-11-06
XOM,2018-11-05,82.5,82.87,81.44,81.64,15758057.0,0.0,81.64,2018-11-05
XOM,2018-11-02,81.76,82.45,80.23,81.95,18812837.0,0.0,81.95,2018-11-02
XOM,2018-11-01,79.83,80.75,79.3,80.67,13939789.0,0.0,80.67,2018-11-01
XOM,2018-10-31,79.34,80.35,78.9,79.68,15981244.0,0.0,79.68,2018-10-31
XOM,2018-10-30,77.62,79.03,77.42,78.78,17656140.0,0.0,78.78,2018-10-30
XOM,2018-10-29,78.07,78.43,76.22,77.05,15442848.0,0.0,77.05,2018-10-29
XOM,2018-10-26,77.87,78.41,76.96,77.53,18088524.0,0.0,77.53,2018-10-26
XOM,2018-10-25,78.49,79.05,77.74,78.31,12136706.0,0.0,78.31,2018-10-25
XOM,2018-10-24,80.13,80.26,77.55,77.62,15391173.0,0.0,77.62,2018-10-24
XOM,2018-10-23,80.06,80.46,78.715,79.84,15184007.0,0.0,79.84,2018-10-23
XOM,2018-10-22,82.0,82.18,80.64,81.15,8749345.0,0.0,81.15,2018-10-22
XOM,2018-10-19,81.66,82.464,81.51,81.97,11558365.0,0.0,81.97,2018-10-19
XOM,2018-10-18,81.2,82.47,81.2,81.85,16404599.0,0.0,81.85,2018-10-18
XOM,2018-10-17,80.94,81.52,80.34,81.5,10579479.0,0.0,81.5,2018-10-17
XOM,2018-10-16,80.51,81.265,80.01,81.2,9120244.0,0.0,81.2,2018-10-16
XOM,2018-10-15,81.38,81.735,80.82,80.82,9944822.0,0.0,80.82,2018-10-15
XOM,2018-10-12,82.13,82.24,80.27,81.38,14860723.0,0.0,81.38,2018-10-12
XOM,2018-10-11,83.94,84.17,81.17,81.6,20320055.0,0.0,81.6,2018-10-12
XOM,2018-10-10,86.73,86.82,84.5,84.52,16395750.0,0.0,84.52,2018-10-10
XOM,2018-10-09,86.38,86.88,85.74,86.51,9592743.0,0.0,86.51,2018-10-09
XOM,2018-10-08,84.79,86.305,84.65,86.13,12969453.0,0.0,86.13,2018-10-08
XOM,2018-10-05,85.31,85.7,84.932,85.34,9201616.0,0.0,85.34,2018-10-05
XOM,2018-10-04,85.5,86.075,85.25,85.58,9672193.0,0.0,85.58,2018-10-04
XOM,2018-10-03,86.51,86.89,85.975,86.15,9353832.0,0.0,86.15,2018-10-03
XOM,2018-10-02,85.8,86.665,85.622,86.46,7892508.0,0.0,86.46,2018-10-02
XOM,2018-10-01,85.35,86.03,85.255,85.81,8429007.0,0.0,85.81,2018-10-01
XOM,2018-09-28,85.25,85.93,84.99,85.02,9547284.0,0.0,85.02,2018-09-28
XOM,2018-09-27,86.085,86.375,85.59,85.77,7643185.0,0.0,85.77,2018-09-27
XOM,2018-09-26,86.02,86.5,85.69,85.78,9870046.0,0.0,85.78,2018-09-26
XOM,2018-09-25,87.031,87.36,86.37,86.5,11628788.0,0.0,86.5,2018-09-25
XOM,2018-09-24,85.79,87.085,85.72,86.6,13100023.0,0.0,86.6,2018-09-24
XOM,2018-09-21,85.01,85.43,84.52,85.17,26196749.0,0.0,85.17,2018-09-21
XOM,2018-09-20,84.86,85.34,84.54,84.82,10621638.0,0.0,84.82,2018-09-20
XOM,2018-09-19,83.64,84.77,83.64,84.63,9787326.0,0.0,84.63,2018-09-19
XOM,2018-09-18,83.9,84.13,83.45,83.63,8799790.0,0.0,83.63,2018-09-18
XOM,2018-09-17,83.0,83.61,82.99,83.41,7898451.0,0.0,83.41,2018-09-17
XOM,2018-09-14,82.42,83.15,82.27,82.92,8551584.0,0.0,82.92,2018-09-14
XOM,2018-09-13,83.15,83.25,82.01,82.32,10833340.0,0.0,82.32,2018-09-13
XOM,2018-09-12,83.25,83.78,82.87,83.13,11442729.0,0.0,83.13,2018-09-12
XOM,2018-09-11,81.96,83.19,81.63,82.86,11622621.0,0.0,82.86,2018-09-11
XOM,2018-09-10,82.236,82.74,81.655,81.71,10469959.0,0.0,81.71,2018-09-10
XOM,2018-09-07,80.15,81.93,79.82,81.83,16297942.0,0.0,81.83,2018-09-07
XOM,2018-09-06,81.11,81.64,80.34,80.46,13254572.0,0.0,80.46,2018-09-06
XOM,2018-09-05,79.9,81.43,79.6,81.36,13740475.0,0.0,81.36,2018-09-05
XOM,2018-09-04,80.41,80.69,79.81,80.29,8836658.0,0.0,80.29,2018-09-04
WMT,2018-12-31,92.67,93.39,92.25,93.15,6743666.0,0.0,93.15,2018-12-31
WMT,2018-12-28,92.07,93.47,91.645,92.13,9841169.0,0.0,92.13,2018-12-28
WMT,2018-12-27,89.75,91.61,88.44,91.59,8754347.0,0.0,91.59,2018-12-27
WMT,2018-12-26,86.42,90.42,86.3,90.41,9430760.0,0.0,90.41,2018-12-26
WMT,2018-12-24,86.54,87.565,85.78,85.82,6110210.0,0.0,85.82,2018-12-28
WMT,2018-12-21,86.87,89.47,86.8,87.13,14656032.0,0.0,87.13,2018-12-21
WMT,2018-12-20,90.11,90.11,86.14,87.28,16085946.0,0.0,87.28,2018-12-20
WMT,2018-12-19,91.29,93.0,90.25,90.55,11947048.0,0.0,90.55,2018-12-19
WMT,2018-12-18,90.8,91.26,90.28,91.08,9566003.0,0.0,91.08,2018-12-18
WMT,2018-12-17,91.22,92.01,90.16,90.77,8732120.0,0.0,90.77,2018-12-17
WMT,2018-12-14,92.05,92.56,91.57,91.85,11259174.0,0.0,91.85,2018-12-14
WMT,2018-12-13,93.25,93.677,92.43,92.96,7561854.0,0.0,92.96,2018-12-13
